"";"Version..0...Fixed.Task.";"Task";"Concept";"Att.1...Doppelseitiges.Drucken";"Att.2...Scan.Funktion";"Att.3...Eco.Modus";"Att.4...Kosten.pro.Seite..in.cent.";"Att.5...Heft..und.Lochfunktion";"Att.6...Sterne.Bewertung.von.1..schlecht..bis.5..gut.";"Att.7...Preis"
"194";4;11;2;1;2;1;2;2;3;2
"195";4;11;3;1;2;2;2;1;2;3
"196";4;11;4;1;2;1;3;2;1;3
"197";4;12;1;1;1;2;1;2;1;2
"198";4;12;2;2;1;1;2;2;4;2
"199";4;12;3;2;1;2;2;2;1;5
"200";4;12;4;2;1;2;1;2;2;4
"201";5;1;1;2;1;2;3;2;4;5
"202";5;1;2;2;1;1;3;2;3;1
"203";5;1;3;1;1;2;1;2;2;5
"204";5;1;4;2;1;1;2;1;4;3
"205";5;2;1;2;1;1;2;1;3;2
"206";5;2;2;2;2;2;3;2;2;5
"207";5;2;3;2;2;2;2;1;1;5
"208";5;2;4;1;1;2;2;1;4;2
"209";5;3;1;2;1;2;1;2;3;2
"210";5;3;2;1;1;1;3;1;4;2
"211";5;3;3;2;1;2;2;2;1;2
"212";5;3;4;2;2;1;1;1;3;3
"213";5;4;1;1;2;1;2;2;2;5
"214";5;4;2;1;2;1;2;2;2;4
"215";5;4;3;1;2;2;2;1;3;5
"216";5;4;4;1;2;1;2;1;4;1
"217";5;5;1;1;1;2;2;1;3;5
"218";5;5;2;2;1;1;2;2;4;2
"219";5;5;3;1;2;2;1;1;4;1
"220";5;5;4;1;2;2;2;1;1;2
"221";5;6;1;2;1;2;3;1;4;5
"222";5;6;2;1;1;1;1;2;4;3
"223";5;6;3;2;2;2;1;2;3;4
"224";5;6;4;2;1;1;2;2;2;4
"225";5;7;1;2;1;1;1;1;2;5
"226";5;7;2;1;2;2;1;1;1;5
"227";5;7;3;1;2;1;2;1;2;2
"228";5;7;4;1;1;2;1;1;4;4
"229";5;8;1;2;2;1;2;1;1;2
"230";5;8;2;2;2;2;2;2;3;3
"231";5;8;3;2;1;1;3;2;2;1
"232";5;8;4;2;2;1;1;2;1;4
